Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"_glfwIsCompositionEnabled",0,0.00431,0,0.00180885,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/deps/glfw/src/win32_init.c",269
"_glfwPlatformPollEvents",0,0.033539,0,0.0140758,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/deps/glfw/src/win32_window.c",995
"_glfwPlatformGetCursorPos",0,0.0035069,0,0.0014718,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/deps/glfw/src/win32_window.c",1073
"_glfwPlatformSwapBuffers",0,0.00431,0,0.00180885,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/deps/glfw/src/wgl_context.c",603
"roundf",0.0050043,0.0050043,0.00210023,0.00210023,"craft","[unknown]",0
"cosf",0,0.0045083,0,0.00189207,"craft","[unknown]",0
"sinf",0,0.0296707,0,0.0124524,"craft","[unknown]",0
"__fpclassify",0.0095095,0.0095095,0.003991,0.003991,"craft","[unknown]",0
"cos",0,0.0045083,0,0.00189207,"craft","[unknown]",0
"sin",0,0.0296707,0,0.0124524,"craft","[unknown]",0
"__sinl_internal",0.0246695,0.0246695,0.0103534,0.0103534,"craft","[unknown]",0
"main",0,12.0495,0,5.05702,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",2801
"DllMain",1.92385,48.732,0.807415,20.4521,"atio6axx","[unknown]",0
"DrvRealizeLayerPalette",0,0.014,0,0.0058756,"atio6axx","[unknown]",0
"DrvSetCallbackProcs",0.144511,60.7591,0.0606492,25.4997,"atio6axx","[unknown]",0
"boost::archive::detail::iserializer<sc_xml_iarchive,_SC_SI_PS_ATTR_CH_ENTRY>::load_object_data",0.0096628,57.5453,0.00405534,24.151,"atio6axx","[unknown]",0
"eglGetProcAddress",0.150863,105.813,0.063315,44.4081,"atio6axx","[unknown]",0
"wglSwapLayerBuffers",0,0.0091816,0,0.00385339,"OPENGL32","[unknown]",0
"wglUseFontBitmapsW",0,0.0659633,0,0.0276839,"OPENGL32","[unknown]",0
"glDrawArrays",0.0050122,0.0050122,0.00210355,0.00210355,"OPENGL32","[unknown]",0
"wglSwapBuffers",0,0.0276899,0,0.0116211,"OPENGL32","[unknown]",0
"DrvPresentBuffers",0,0.0383006,0,0.0160742,"atig6pxx","[unknown]",0
"NotifyGraphicsApi",0,12.0495,0,5.05701,"amdihk64","[unknown]",0
"Ordinal1",0,0.0171175,0,0.00718397,"dxcore","[unknown]",0
"DwmIsCompositionEnabled",0.00431,0.00431,0.00180885,0.00180885,"dwmapi","[unknown]",0
"DwmpDxGetWindowSharedSurface",0.0101583,0.0101583,0.0042633,0.0042633,"dwmapi","[unknown]",0
"Ordinal186",0,0,0,0,"dwmapi","[unknown]",0
"DescribePixelFormat",0,0.0042395,0,0.00177926,"gdi32full","[unknown]",0
"SwapBuffers",0,0.0274211,0,0.0115083,"gdi32full","[unknown]",0
"NtUserPeekMessage",0.0290307,0.033539,0.0121838,0.0140758,"win32u","[unknown]",0
"NtUserMessageCall",0.0045083,0.0045083,0.00189207,0.00189207,"win32u","[unknown]",0
"NtUserGetDC",0.0150124,0.0150124,0.00630049,0.00630049,"win32u","[unknown]",0
"NtUserGetAncestor",0.0050286,0.0050286,0.00211043,0.00211043,"win32u","[unknown]",0
"NtGdiDdDDICreateAllocation",0.0171175,0.0171175,0.00718397,0.00718397,"win32u","[unknown]",0
"NtGdiDdDDIMakeResident",0.0035054,0.0035054,0.00147117,0.00147117,"win32u","[unknown]",0
"NtGdiDdDDIMapGpuVirtualAddress",0.0131792,0.0131792,0.00553113,0.00553113,"win32u","[unknown]",0
"NtGdiDdDDIPresent",0.0383006,0.0383006,0.0160742,0.0160742,"win32u","[unknown]",0
"NtGdiDdDDISignalSynchronizationObjectFromGpu2",0.0085075,0.0085075,0.00357048,0.00357048,"win32u","[unknown]",0
"NtGdiDdDDISubmitCommand",0.0145143,0.0145143,0.00609145,0.00609145,"win32u","[unknown]",0
"NtGdiDdDDIWaitForSynchronizationObjectFromCpu",0.004281,0.004281,0.00179668,0.00179668,"win32u","[unknown]",0
"NtUserGetCursorPos",0.0035069,0.0035069,0.0014718,0.0014718,"win32u","[unknown]",0
"NtUserWindowFromDC",0.0226866,0.0226866,0.00952125,0.00952125,"win32u","[unknown]",0
"LoadLibraryExA",0.0042395,0.0042395,0.00177926,0.00177926,"KERNELBASE","[unknown]",0
"LoadLibraryExW",0,0,0,0,"KERNELBASE","[unknown]",0
"WaitForSingleObjectEx",57.5306,57.5306,24.1448,24.1448,"KERNELBASE","[unknown]",0
"WaitForMultipleObjects",68.0428,68.0428,28.5566,28.5566,"KERNELBASE","[unknown]",0
"WaitForMultipleObjectsEx",0,0,0,0,"KERNELBASE","[unknown]",0
"SetEvent",0.0045188,0.0045188,0.00189648,0.00189648,"KERNELBASE","[unknown]",0
"SwitchToThread",3.45549,3.45549,1.45022,1.45022,"KERNELBASE","[unknown]",0
"SleepConditionVariableSRW",39.9334,39.9334,16.7595,16.7595,"KERNELBASE","[unknown]",0
"calloc",0.235804,0.235804,0.0989636,0.0989636,"msvcrt","[unknown]",0
"free",0.16021,0.16021,0.0672378,0.0672378,"msvcrt","[unknown]",0
"malloc",0.0314703,0.0314703,0.0132076,0.0132076,"msvcrt","[unknown]",0
"realloc",0,0,0,0,"msvcrt","[unknown]",0
"beginthreadex",0,60.2476,0,25.2851,"msvcrt","[unknown]",0
"endthreadex",0,60.2476,0,25.2851,"msvcrt","[unknown]",0
"memcpy",0.0819691,0.0819691,0.0344013,0.0344013,"msvcrt","[unknown]",0
"GetDlgCtrlID",0,0.0045083,0,0.00189207,"USER32","[unknown]",0
"CallWindowProcW",0,0.0045083,0,0.00189207,"USER32","[unknown]",0
"DispatchMessageW",0,0.0045083,0,0.00189207,"USER32","[unknown]",0
"PeekMessageW",0,0.033539,0,0.0140758,"USER32","[unknown]",0
"GetPropW",0,0,0,0,"USER32","[unknown]",0
"GetClassLongW",0,0.0045083,0,0.00189207,"USER32","[unknown]",0
"GetCurrentThreadId",0.0055094,0.0055094,0.00231222,0.00231222,"KERNEL32","[unknown]",0
"GlobalFindAtomW",0,0,0,0,"KERNEL32","[unknown]",0
"BaseThreadInitThunk",0,190.075,0,79.7719,"KERNEL32","[unknown]",0
"VerifyVersionInfoW",0.004079,0.004079,0.0017119,0.0017119,"KERNEL32","[unknown]",0
"RtlUnicodeToCustomCPN",0,0,0,0,"ntdll","[unknown]",0
"RtlGetFullPathName_UstrEx",0,0,0,0,"ntdll","[unknown]",0
"RtlLeaveCriticalSection",0.0046773,0.0046773,0.001963,0.001963,"ntdll","[unknown]",0
"LdrLoadDll",0,0,0,0,"ntdll","[unknown]",0
"TpSetWaitEx",0.00431,0.00431,0.00180885,0.00180885,"ntdll","[unknown]",0
"RtlClearThreadWorkOnBehalfTicket",0,0,0,0,"ntdll","[unknown]",0
"RtlDeleteBoundaryDescriptor",0,0,0,0,"ntdll","[unknown]",0
"RtlFreeHeap",0.0044439,0.0044439,0.00186504,0.00186504,"ntdll","[unknown]",0
"RtlGetCurrentServiceSessionId",0,0,0,0,"ntdll","[unknown]",0
"RtlAllocateHeap",0.009508,0.009508,0.00399037,0.00399037,"ntdll","[unknown]",0
"RtlTryEnterCriticalSection",0,0,0,0,"ntdll","[unknown]",0
"RtlSwitchedVVI",0,0,0,0,"ntdll","[unknown]",0
"RtlDelayExecution",0,0,0,0,"ntdll","[unknown]",0
"RtlUserThreadStart",48.1981,226.224,20.2281,94.943,"ntdll","[unknown]",0
"RtlSleepConditionVariableSRW",0,0,0,0,"ntdll","[unknown]",0
"TpCallbackSendPendingAlpcMessage",0,0,0,0,"ntdll","[unknown]",0
"RtlUnhandledExceptionFilter",0,0,0,0,"ntdll","[unknown]",0
"NtWaitForSingleObject",0,0,0,0,"ntdll","[unknown]",0
"NtSetEvent",0,0,0,0,"ntdll","[unknown]",0
"ZwFindAtom",0,0,0,0,"ntdll","[unknown]",0
"NtAllocateVirtualMemory",0,0,0,0,"ntdll","[unknown]",0
"NtFreeVirtualMemory",0,0,0,0,"ntdll","[unknown]",0
"NtDelayExecution",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForMultipleObjects",0,0,0,0,"ntdll","[unknown]",0
"ZwAlertThreadByThreadId",0,0,0,0,"ntdll","[unknown]",0
"ZwQueryLicenseValue",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForAlertByThreadId",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForWorkViaWorkerFactory",0,0,0,0,"ntdll","[unknown]",0
"KiUserCallbackDispatcher",0,0.0045083,0,0.00189207,"ntdll","[unknown]",0
"RtlCopyMemory",0,0,0,0,"ntdll","[unknown]",0
